Category	Precision	Recall	F1-score	TP	FP	FN
COLO829_ONT_PAO,1.0,DeepSomatic_TO_v1_8_0,snv	0.48433422168215523	0.8466700461051971	0.6161832651125204	35075	37344	6352
COLO829_ONT_PAO,1.0,ClairS_TO_ssrs_v0_3_0,snv	0.6527622521621462	0.8034615106090232	0.7203142245017204	33285	17706	8142
COLO829_ONT_PAO,1.0,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.010283690620040843	0.855022087044681	0.020322949050910075	35421	3408965	6006
COLO829_ONT_PAO,1.0,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.5725102880658436	0.8395490863446544	0.6807794317703593	34780	25970	6647
COLO829_ONT_PAO,0.8,DeepSomatic_TO_v1_8_0,snv	0.4655306680041709	0.8513771212011491	0.6019284921921666	35270	40493	6157
COLO829_ONT_PAO,0.8,ClairS_TO_ssrs_v0_3_0,snv	0.6308058144440609	0.7940232215704733	0.7030660553792225	32894	19252	8533
COLO829_ONT_PAO,0.8,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.009593033179060776	0.8411663890699302	0.018969727207080973	34847	3597685	6580
COLO829_ONT_PAO,0.8,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.5601584365844476	0.82612788760953	0.6676290429557957	34224	26873	7203
COLO829_ONT_PAO,0.6,DeepSomatic_TO_v1_8_0,snv	0.45025848100614696	0.8451734376131509	0.5875206604636334	35013	42749	6414
COLO829_ONT_PAO,0.6,ClairS_TO_ssrs_v0_3_0,snv	0.6027347898649674	0.7671566852535786	0.6750783282884606	31781	20947	9646
COLO829_ONT_PAO,0.6,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.00887197176200797	0.8098583049701885	0.01755166559028658	33550	3748022	7877
COLO829_ONT_PAO,0.6,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.5389959622709365	0.7959060516088541	0.6427290448343079	32972	28201	8455
COLO829_ONT_PAO,0.4,DeepSomatic_TO_v1_8_0,snv	0.4309757745893117	0.8004682936249305	0.560289260038354	33161	43783	8266
COLO829_ONT_PAO,0.4,ClairS_TO_ssrs_v0_3_0,snv	0.55805060613457	0.6622733965771116	0.6057113841330816	27436	21728	13991
COLO829_ONT_PAO,0.4,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.0077135074490458375	0.708982064836942	0.015260980114378113	29371	3778365	12056
COLO829_ONT_PAO,0.4,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.4958123090653211	0.6973471407536148	0.5795592468879459	28889	29377	12538
COLO829_ONT_PAO,0.2,DeepSomatic_TO_v1_8_0,snv	0.36351898080399414	0.6116300963139981	0.4560105822962503	25338	44364	16089
COLO829_ONT_PAO,0.2,ClairS_TO_ssrs_v0_3_0,snv	0.380359690095936	0.3282641755376928	0.35239699403990676	13599	22154	27828
COLO829_ONT_PAO,0.2,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.004147787868398056	0.3805006396794361	0.00820612187207654	15763	3784576	25664
COLO829_ONT_PAO,0.2,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.3419370481396579	0.3744659280179593	0.3574629874992799	15513	29855	25914
H1437_ONT,1.0,DeepSomatic_TO_v1_8_0,snv	0.6802260048225777	0.6197836769714776	0.6485997455938073	47675	22412	29247
H1437_ONT,1.0,ClairS_TO_ssrs_v0_3_0,snv	0.7703740274774852	0.5882712357973011	0.6671187740028452	45251	13488	31671
H1437_ONT,1.0,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.024607048399872006	0.9527443384207379	0.04797501976129339	73287	2905006	3635
H1437_ONT,1.0,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.7431683667044453	0.6137645927042978	0.6722961908152367	47212	16316	29710
H1437_ONT,0.8,DeepSomatic_TO_v1_8_0,snv	0.6240402851350467	0.6202516835235693	0.6221402165904927	47711	28744	29211
H1437_ONT,0.8,ClairS_TO_ssrs_v0_3_0,snv	0.7276145949791646	0.5584098177374484	0.6318809026449734	42954	16080	33968
H1437_ONT,0.8,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.022172670436893263	0.9315150412105769	0.04331433814973169	71654	3159982	5268
H1437_ONT,0.8,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.6927116152068893	0.6002444034216479	0.6431715607065247	46172	20482	30750
H1437_ONT,0.6,DeepSomatic_TO_v1_8_0,snv	0.6035841645563078	0.6073035022490315	0.605438121282028	46715	30681	30207
H1437_ONT,0.6,ClairS_TO_ssrs_v0_3_0,snv	0.7212483516483517	0.533280465926523	0.6131826573092073	41021	15854	35901
H1437_ONT,0.6,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.020280554906026614	0.8873664231299239	0.0396548083154375	68258	3297429	8664
H1437_ONT,0.6,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.6510198379435597	0.5755180572528016	0.6109451225823368	44270	23731	32652
H1437_ONT,0.4,DeepSomatic_TO_v1_8_0,snv	0.5842133333333334	0.5696159746236448	0.5768223167151565	43816	31184	33106
H1437_ONT,0.4,ClairS_TO_ssrs_v0_3_0,snv	0.7296686451004284	0.48265775720860093	0.5809990297643267	37127	13755	39795
H1437_ONT,0.4,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.017660735586451714	0.7762538675541457	0.03453574036452497	59711	3321292	17211
H1437_ONT,0.4,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.6178047293812419	0.5138841943787213	0.5610730634115184	39529	24454	37393
H1437_ONT,0.2,DeepSomatic_TO_v1_8_0,snv	0.514668876204505	0.4360521047294662	0.4721100116824074	33542	31630	43380
H1437_ONT,0.2,ClairS_TO_ssrs_v0_3_0,snv	0.8355162841615514	0.2778138893944515	0.41697967785051565	21370	4207	55552
H1437_ONT,0.2,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.010519690810082818	0.45979043706611894	0.020568781953348044	35368	3326708	41554
H1437_ONT,0.2,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.4979626762285062	0.3177504485062791	0.3879497801691983	24442	24642	52480
H2009_ONT,1.0,DeepSomatic_TO_v1_8_0,snv	0.8608664269578816	0.9379860767236609	0.8977731312075274	128808	20818	8516
H2009_ONT,1.0,ClairS_TO_ssrs_v0_3_0,snv	0.9118928631182303	0.9128557280591885	0.9123740415512768	125357	12112	11967
H2009_ONT,1.0,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.044992508120392995	0.9774183682386182	0.0860251096439927	134223	2849007	3101
H2009_ONT,1.0,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.9013995529205948	0.9455229967085141	0.9229342147350463	129843	14203	7481
H2009_ONT,0.8,DeepSomatic_TO_v1_8_0,snv	0.8238905165962737	0.946054586234016	0.8807565845225586	129916	27770	7408
H2009_ONT,0.8,ClairS_TO_ssrs_v0_3_0,snv	0.8839987201820185	0.9053770644606915	0.8945601847688051	124330	16315	12994
H2009_ONT,0.8,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.040886639926556514	0.9674419620750925	0.07845746133687669	132853	3116448	4471
H2009_ONT,0.8,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.8703129443308462	0.936034487780723	0.9019781206800974	128540	19154	8784
H2009_ONT,0.6,DeepSomatic_TO_v1_8_0,snv	0.8081324980088925	0.9383938714281553	0.8684055353574834	128864	30595	8460
H2009_ONT,0.6,ClairS_TO_ssrs_v0_3_0,snv	0.8550864263512468	0.8854606623751129	0.870008514413686	121595	20607	15729
H2009_ONT,0.6,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.03807835307584449	0.9423188954589147	0.07319880112872876	129403	3268932	7921
H2009_ONT,0.6,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.8437622134472581	0.9118289592496578	0.8764760644813564	125216	23186	12108
H2009_ONT,0.4,DeepSomatic_TO_v1_8_0,snv	0.7975265885271959	0.8988232209956016	0.8451504673217158	123430	31336	13894
H2009_ONT,0.4,ClairS_TO_ssrs_v0_3_0,snv	0.8296990420908817	0.7827473711805657	0.8055396306163513	107490	22063	29834
H2009_ONT,0.4,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.0342147150774998	0.8507398561067256	0.06578376501928995	116827	3297698	20497
H2009_ONT,0.4,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.8230920477716284	0.8230680725874574	0.8230800600049518	113027	24293	24297
H2009_ONT,0.2,DeepSomatic_TO_v1_8_0,snv	0.7199288286524267	0.6158064140281378	0.6638093780294912	84565	32898	52759
H2009_ONT,0.2,ClairS_TO_ssrs_v0_3_0,snv	0.6962281186410986	0.37622702513763073	0.48848632115387347	51665	22542	85659
H2009_ONT,0.2,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.0186315471359351	0.4570286330138941	0.03580350373574743	62761	3305773	74563
H2009_ONT,0.2,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.7066263436133675	0.4389837173400134	0.5415410874300985	60283	25028	77041
HCC1395_ONT,1.0,DeepSomatic_TO_v1_8_0,snv	0.5666440754546481	0.7630238040915659	0.6503321989953006	30099	23019	9348
HCC1395_ONT,1.0,ClairS_TO_ssrs_v0_3_0,snv	0.7082771703859019	0.7193195933784572	0.7137556754581241	28375	11687	11072
HCC1395_ONT,1.0,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.010887818895054751	0.7622886404542805	0.02146899472342516	30070	2731732	9377
HCC1395_ONT,1.0,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.6634827499943144	0.7395746191091844	0.6994653432112973	29174	14797	10273
HCC1395_ONT,0.8,DeepSomatic_TO_v1_8_0,snv	0.5071011573520877	0.7530864197530864	0.6060859541564232	29707	28875	9740
HCC1395_ONT,0.8,ClairS_TO_ssrs_v0_3_0,snv	0.6396063012360907	0.6309478540826933	0.6352475752935172	24889	14024	14558
HCC1395_ONT,0.8,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.009473739910638001	0.7443405075164145	0.01870935286042123	29362	3069942	10085
HCC1395_ONT,0.8,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.6027756621816027	0.7222855983978502	0.6571412097099694	28492	18776	10955
HCC1395_ONT,0.6,DeepSomatic_TO_v1_8_0,snv	0.4828944951830765	0.7331863006058762	0.582283068250453	28922	30971	10525
HCC1395_ONT,0.6,ClairS_TO_ssrs_v0_3_0,snv	0.6420362555405155	0.6132278753770882	0.6273014885120066	24190	13487	15257
HCC1395_ONT,0.6,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.008357743986812953	0.7005095444520496	0.016518407685994232	27633	3278642	11814
HCC1395_ONT,0.6,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.553538982490915	0.6796207569650417	0.6101343893307845	26809	21623	12638
HCC1395_ONT,0.4,DeepSomatic_TO_v1_8_0,snv	0.4592632288623438	0.6734859431642457	0.5461179517750324	26567	31280	12880
HCC1395_ONT,0.4,ClairS_TO_ssrs_v0_3_0,snv	0.5680655066530195	0.5205719066088675	0.5432827133710778	20535	15614	18912
HCC1395_ONT,0.4,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.006845398997304624	0.5800187593479859	0.013531103500522496	22880	3319511	16567
HCC1395_ONT,0.4,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.4990214823979305	0.5623748320531345	0.5288074181783509	22184	22271	17263
HCC1395_ONT,0.2,DeepSomatic_TO_v1_8_0,snv	0.37073909531502425	0.465409283342206	0.41271482684590916	18359	31161	21088
HCC1395_ONT,0.2,ClairS_TO_ssrs_v0_3_0,snv	0.33195869143332407	0.24283215453646664	0.28048548380012595	9579	19277	29868
HCC1395_ONT,0.2,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.0034847326255883987	0.2950541232539864	0.0068881132848737005	11639	3328359	27808
HCC1395_ONT,0.2,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.3317958725090178	0.2844829771592263	0.30632327450900115	11222	22600	28225
HCC1395_ONT_Dorado,1.0,DeepSomatic_TO_v1_8_0,snv	0.6048689138576779	0.7860673815499277	0.6836657075768099	31008	20256	8439
HCC1395_ONT_Dorado,1.0,ClairS_TO_ssrs_v0_3_0,snv	0.7117534769566403	0.7278120009126169	0.7196931715632208	28710	11627	10737
HCC1395_ONT_Dorado,1.0,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.01103735701300619	0.7712627069232134	0.021763265119260175	30424	2726033	9023
HCC1395_ONT_Dorado,1.0,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.6797927461139897	0.7483458818161077	0.7124239791485665	29520	13905	9927
HCC1395_ONT_Dorado,0.8,DeepSomatic_TO_v1_8_0,snv	0.535816014347505	0.7725302304357746	0.6327592113869249	30474	26400	8973
HCC1395_ONT_Dorado,0.8,ClairS_TO_ssrs_v0_3_0,snv	0.6473880165575931	0.7096864146829923	0.6771072681098077	27995	15248	11452
HCC1395_ONT_Dorado,0.8,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.009590555324818714	0.7539736862118792	0.018940191165892885	29742	3071434	9705
HCC1395_ONT_Dorado,0.8,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.6159822419533851	0.7316145714503004	0.6688374141067683	28860	17992	10587
HCC1395_ONT_Dorado,0.6,DeepSomatic_TO_v1_8_0,snv	0.5083069620253164	0.7492331482749005	0.6056910985644167	29555	28589	9892
HCC1395_ONT_Dorado,0.6,ClairS_TO_ssrs_v0_3_0,snv	0.5879839846109111	0.6663878114939032	0.6247356037740333	26287	18420	13160
HCC1395_ONT_Dorado,0.6,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.008495909376966647	0.7125256673511293	0.016791601510867765	28107	3280191	11340
HCC1395_ONT_Dorado,0.6,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.5680984917923506	0.6913326742211068	0.6236864072452002	27271	20733	12176
HCC1395_ONT_Dorado,0.4,DeepSomatic_TO_v1_8_0,snv	0.48385259035072103	0.688975080487743	0.5684763169729232	27178	28992	12269
HCC1395_ONT_Dorado,0.4,ClairS_TO_ssrs_v0_3_0,snv	0.529076509338531	0.5436154840672295	0.5362474680537147	21444	19087	18003
HCC1395_ONT_Dorado,0.4,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.007069708807370862	0.5988034578041422	0.013974430005534515	23621	3317535	15826
HCC1395_ONT_Dorado,0.4,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.5187515560283367	0.5810327781580348	0.5481286619634101	22920	21263	16527
HCC1395_ONT_Dorado,0.2,DeepSomatic_TO_v1_8_0,snv	0.3623864783047427	0.43699140619058485	0.396207550422341	17238	30330	22209
HCC1395_ONT_Dorado,0.2,ClairS_TO_ssrs_v0_3_0,snv	0.3236842105263158	0.23385808806753366	0.271535167115546	9225	19275	30222
HCC1395_ONT_Dorado,0.2,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.003407401820194303	0.2885897533399245	0.006735279665862919	11384	3329578	28063
HCC1395_ONT_Dorado,0.2,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.3337184554575859	0.2782467614774254	0.30346848777250923	10976	21914	28471
HCC1937_ONT,1.0,DeepSomatic_TO_v1_8_0,snv	0.37909077871791197	0.8342485640345894	0.5212984144513686	13217	21648	2626
HCC1937_ONT,1.0,ClairS_TO_ssrs_v0_3_0,snv	0.4834094244252405	0.7485324749100549	0.5874427244582042	11859	12673	3984
HCC1937_ONT,1.0,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.004755241000446328	0.804961181594395	0.009454629565789855	12753	2669130	3090
HCC1937_ONT,1.0,ClairS_TO_ssrs_v0_3_0_pileup_nonsomatic,snv	0.4423836816062084	0.7843842706558102	0.5657122046706423	12427	15664	3416
HCC1937_ONT,0.8,DeepSomatic_TO_v1_8_0,snv	0.3122414394656831	0.7908224452439563	0.44771212635566116	12529	27597	3314
HCC1937_ONT,0.8,ClairS_TO_ssrs_v0_3_0,snv	0.40932835820895525	0.6924193650192514	0.5145041390146097	10970	15830	4873
HCC1937_ONT,0.8,ClairS_TO_ssrs_v0_3_0_pileup,snv	0.0039071168329010385	0.7490374297797134	0.007773684698379134	11867	3025411	3976
