Category	Precision	Recall	F1-score	TP	FP	FN
COLO829_ONT_PAO,1.0,DeepSomatic_TO_v1_8_0,indel	0.07179161372299873	0.11472081218274112	0.088315748339195	113	1461	872
COLO829_ONT_PAO,1.0,ClairS_TO_v0_3_0,indel	0.15427380125086865	0.22538071065989848	0.18316831683168314	222	1217	763
COLO829_ONT_PAO,1.0,ClairS_TO_ss_v0_3_0,indel	0.15299944964226747	0.28223350253807106	0.19842969307637404	278	1539	707
COLO829_ONT_PAO,0.8,DeepSomatic_TO_v1_8_0,indel	0.08002406738868832	0.1350253807106599	0.10049112202493388	133	1529	852
COLO829_ONT_PAO,0.8,ClairS_TO_v0_3_0,indel	0.15447761194029852	0.2101522842639594	0.1780645161290323	207	1133	778
COLO829_ONT_PAO,0.8,ClairS_TO_ss_v0_3_0,indel	0.14767441860465116	0.2578680203045685	0.18780036968576708	254	1466	731
COLO829_ONT_PAO,0.6,DeepSomatic_TO_v1_8_0,indel	0.07439446366782007	0.13096446700507614	0.0948878264067672	129	1605	856
COLO829_ONT_PAO,0.6,ClairS_TO_v0_3_0,indel	0.11136536994660565	0.14822335025380712	0.12717770034843207	146	1165	839
COLO829_ONT_PAO,0.6,ClairS_TO_ss_v0_3_0,indel	0.1354916067146283	0.22944162436548224	0.17037316245759515	226	1442	759
COLO829_ONT_PAO,0.4,DeepSomatic_TO_v1_8_0,indel	0.05602716468590832	0.10050761421319797	0.07194767441860465	99	1668	886
COLO829_ONT_PAO,0.4,ClairS_TO_v0_3_0,indel	0.05584905660377359	0.0751269035532995	0.06406926406926408	74	1251	911
COLO829_ONT_PAO,0.4,ClairS_TO_ss_v0_3_0,indel	0.10036057692307693	0.16954314720812183	0.12608531521328803	167	1497	818
COLO829_ONT_PAO,0.2,DeepSomatic_TO_v1_8_0,indel	0.02475532527345999	0.04365482233502538	0.031594415870683325	43	1694	942
COLO829_ONT_PAO,0.2,ClairS_TO_v0_3_0,indel	0.0045045045045045045	0.006091370558375634	0.005179110919292187	6	1326	979
COLO829_ONT_PAO,0.2,ClairS_TO_ss_v0_3_0,indel	0.04200626959247649	0.06802030456852792	0.05193798449612403	67	1528	918
H1437_ONT,1.0,DeepSomatic_TO_v1_8_0,indel	0.30758714969241285	0.11029411764705882	0.16236694930543027	450	1013	3630
H1437_ONT,1.0,ClairS_TO_v0_3_0,indel	0.5690084703537618	0.27990196078431373	0.375225891243634	1142	865	2938
H1437_ONT,1.0,ClairS_TO_ss_v0_3_0,indel	0.5537848605577689	0.30661764705882355	0.39469947941315664	1251	1008	2829
H1437_ONT,0.8,DeepSomatic_TO_v1_8_0,indel	0.3254994124559342	0.13578431372549019	0.19162919405050155	554	1148	3526
H1437_ONT,0.8,ClairS_TO_v0_3_0,indel	0.5268400664084117	0.23333333333333334	0.3234244946492271	952	855	3128
H1437_ONT,0.8,ClairS_TO_ss_v0_3_0,indel	0.5159574468085106	0.2852941176470588	0.36742424242424243	1164	1092	2916
H1437_ONT,0.6,DeepSomatic_TO_v1_8_0,indel	0.2896292315959162	0.1321078431372549	0.18145093418616393	539	1322	3541
H1437_ONT,0.6,ClairS_TO_v0_3_0,indel	0.504720406681191	0.17034313725490197	0.2547187099138721	695	682	3385
H1437_ONT,0.6,ClairS_TO_ss_v0_3_0,indel	0.4399641577060932	0.24068627450980393	0.31115335868187577	982	1250	3098
H1437_ONT,0.4,DeepSomatic_TO_v1_8_0,indel	0.2203872437357631	0.09485294117647058	0.13262508567511994	387	1369	3693
H1437_ONT,0.4,ClairS_TO_v0_3_0,indel	0.30713547052740436	0.07279411764705883	0.11769367941351297	297	670	3783
H1437_ONT,0.4,ClairS_TO_ss_v0_3_0,indel	0.3346693386773547	0.16372549019607843	0.21988150098749176	668	1328	3412
H1437_ONT,0.2,DeepSomatic_TO_v1_8_0,indel	0.06118421052631579	0.022794117647058822	0.03321428571428572	93	1427	3987
H1437_ONT,0.2,ClairS_TO_v0_3_0,indel	0.14622641509433962	0.007598039215686274	0.01444547996272134	31	181	4049
H1437_ONT,0.2,ClairS_TO_ss_v0_3_0,indel	0.12555768005098789	0.0482843137254902	0.06974685785094707	197	1372	3883
H2009_ONT,1.0,DeepSomatic_TO_v1_8_0,indel	0.48032786885245904	0.18579581483830057	0.267946959304984	879	951	3852
H2009_ONT,1.0,ClairS_TO_v0_3_0,indel	0.764041772509173	0.5721834707250053	0.6543388929175732	2707	836	2024
H2009_ONT,1.0,ClairS_TO_ss_v0_3_0,indel	0.7482573726541555	0.5899387021771296	0.6597328920931332	2791	939	1940
