Category	Precision	Recall	F1-score	TP	FP	FN
H2009_ONT,1.0,DeepSomatic_TO_v1_8_0,snv	0.8608664269578816	0.9379860767236609	0.8977731312075274	128808	20818	8516
H2009_ONT,1.0,ClairS_TO_v0_3_0,snv	0.9118928631182303	0.9128557280591885	0.9123740415512768	125357	12112	11967
H2009_ONT,0.8,DeepSomatic_TO_v1_8_0,snv	0.8238905165962737	0.946054586234016	0.8807565845225586	129916	27770	7408
H2009_ONT,0.8,ClairS_TO_v0_3_0,snv	0.8839987201820185	0.9053770644606915	0.8945601847688051	124330	16315	12994
H2009_ONT,0.6,DeepSomatic_TO_v1_8_0,snv	0.8081324980088925	0.9383938714281553	0.8684055353574834	128864	30595	8460
H2009_ONT,0.6,ClairS_TO_v0_3_0,snv	0.8550864263512468	0.8854606623751129	0.870008514413686	121595	20607	15729
H2009_ONT,0.4,DeepSomatic_TO_v1_8_0,snv	0.7975265885271959	0.8988232209956016	0.8451504673217158	123430	31336	13894
H2009_ONT,0.4,ClairS_TO_v0_3_0,snv	0.8296990420908817	0.7827473711805657	0.8055396306163513	107490	22063	29834
H2009_ONT,0.2,DeepSomatic_TO_v1_8_0,snv	0.7199288286524267	0.6158064140281378	0.6638093780294912	84565	32898	52759
H2009_ONT,0.2,ClairS_TO_v0_3_0,snv	0.6962281186410986	0.37622702513763073	0.48848632115387347	51665	22542	85659
HCC1954_ONT,1.0,DeepSomatic_TO_v1_8_0,snv	0.2139882167648603	0.8875877086861844	0.344839255499154	18342	67373	2323
HCC1954_ONT,1.0,ClairS_TO_v0_3_0,snv	0.2483782115925887	0.798548270021776	0.3789033798677443	16502	49937	4163
HCC1954_ONT,0.8,DeepSomatic_TO_v1_8_0,snv	0.19646514112723712	0.8541979191870313	0.3194556296544298	17652	72196	3013
HCC1954_ONT,0.8,ClairS_TO_v0_3_0,snv	0.21788259495995885	0.717541737236874	0.33426510369702434	14828	53227	5837
HCC1954_ONT,0.6,DeepSomatic_TO_v1_8_0,snv	0.1792997904028922	0.7823856762642148	0.291741099622873	16168	74005	4497
HCC1954_ONT,0.6,ClairS_TO_v0_3_0,snv	0.17545280518333087	0.5765787563513186	0.26903753880891895	11915	55995	8750
HCC1954_ONT,0.4,DeepSomatic_TO_v1_8_0,snv	0.14692041045889673	0.6194047907089282	0.23750545056453934	12800	74322	7865
HCC1954_ONT,0.4,ClairS_TO_v0_3_0,snv	0.11686958685139401	0.3637067505443987	0.17689700621351911	7516	56795	13149
HCC1954_ONT,0.2,DeepSomatic_TO_v1_8_0,snv	0.08663366336633663	0.3472054197919187	0.13866743972556406	7175	75645	13490
HCC1954_ONT,0.2,ClairS_TO_v0_3_0,snv	0.048189349903120196	0.1396080329058795	0.07164764754821004	2885	56983	17780
HCC1937_ONT,1.0,DeepSomatic_TO_v1_8_0,snv	0.37909077871791197	0.8342485640345894	0.5212984144513686	13217	21648	2626
HCC1937_ONT,1.0,ClairS_TO_v0_3_0,snv	0.4834094244252405	0.7485324749100549	0.5874427244582042	11859	12673	3984
